n 141548, BTC size 141548
40926.82778, 0
40926.86944, 0
40926.91111, 0
40926.95278, 0
40926.99444, 0
40927.03611, 0
40927.07778, 0
40927.11944, 0
40927.16111, 0
40927.20278, 0
40927.24444, 0
40927.28611, 0
40927.32778, 0
40927.36944, 0
40927.41111, 0
40927.45278, 0
40927.49444, 0
40927.53611, 0
40927.57778, 0
40927.61944, 0
40927.66111, 0
40927.70278, 0
40927.74444, 0
40927.78611, 0
40927.82778, 0
40927.86944, 0
40927.91111, 0
40927.93125, 0
40927.94236, 0
40927.94792, 0
40927.95278, 0
40927.95972, 0
40927.96458, 0
40927.975, 0.0001
40927.98194, 0.0002
40927.98819, 0.0003
40927.99444, 0.0005
40928.0125, 0.0004
40928.02917, 0.0006
40928.03611, 0.0005
40928.04653, 0.0002
40928.06389, 0.0005
40928.07083, 0.0006
40928.07778, 0.0008
40928.11944, 0.0002
40928.14306, 0.0002
40928.14931, 0.0003
40928.16111, 0.0004
40928.20278, 0.0001
40928.22083, 0.0002
40928.22847, 0.0002
40928.24444, 0.0002
40928.28125, 0.0001
40928.28611, 0
40928.32083, 0.0001
40928.32778, 0.0001
40928.33889, 0
40928.36944, 0
40928.38958, 0
40928.41111, 0
40928.43403, 0
40928.44236, 0
40928.45278, 0
40928.47083, 0
40928.49444, 0
40928.53611, 0
40928.57778, 0
40928.57986, 0
40928.61944, 0
40928.66111, 0
40928.66806, 0
40928.68611, 0
40928.70278, 0
40928.74444, 0
40928.78611, 0
40928.79583, 0
40928.82778, 0
40928.86944, 0
40928.91111, 0
40928.93333, 0
40928.95278, 0
40928.99444, 0
40929.03611, 0
40929.07778, 0
40929.11944, 0
40929.14792, 0
40929.16111, 0
40929.20278, 0
40929.24444, 0
40929.28611, 0
40929.32778, 0
40929.36944, 0
40929.41111, 0
40929.42083, 0
40929.43472, 0
40929.43958, 0
40929.45069, 0
40929.45278, 0
40929.49444, 0
40929.53611, 0
40929.57778, 0
40929.61944, 0
40929.66111, 0
40929.67431, 0
40929.70278, 0
40929.72569, 0
40929.74097, 0
40929.74444, 0
40929.75, 0
40929.78611, 0
40929.82778, 0
40929.86042, 0
40929.86944, 0
40929.88819, 0
40929.91111, 0
40929.95278, 0
40929.99444, 0
40930.03333, 0
40930.03611, 0
40930.04167, 0
40930.07778, 0
40930.11944, 0
40930.16111, 0
40930.20278, 0
40930.24444, 0
40930.25903, 0
40930.28194, 0
40930.28611, 0
40930.29097, 0
40930.29792, 0
40930.31111, 0
40930.32778, 0
40930.32986, 0
40930.34583, 0
40930.36944, 0
40930.41111, 0
40930.44653, 0
40930.45278, 0
40930.4625, 0
40930.48611, 0
40930.49444, 0
40930.50486, 0
40930.53611, 0.0001
40930.55347, 0.0001
40930.57778, 0.0002
40930.58889, 0
40930.59653, 0
40930.60556, 0
40930.60694, 0
40930.60903, 0
40930.61944, 0
40930.62639, 0
40930.66111, 0
40930.68056, 0
40930.68403, 0
40930.70278, 0
40930.74444, 0
40930.77153, 0
40930.77361, 0
40930.78611, 0
40930.7875, 0
40930.82778, 0
40930.84653, 0
40930.85764, 0
40930.86944, 0
40930.90069, 0
40930.91111, 0
40930.91458, 0
40930.93472, 0
40930.95278, 0
40930.99444, 0
40931.03611, 0
40931.07778, 0
40931.11944, 0
40931.16111, 0
40931.20278, 0
40931.24444, 0
40931.28611, 0
40931.32778, 0
40931.35972, 0
40931.36944, 0
40931.38819, 0
40931.41111, 0
40931.45278, 0
40931.49444, 0
40931.53611, 0
40931.57778, 0
40931.61944, 0
40931.66111, 0
40931.70278, 0
40931.74444, 0
40931.78611, 0
40931.82778, 0
40931.86944, 0
40931.91111, 0
40931.95278, 0
40931.99444, 0
40932.03611, 0
40932.07778, 0
40932.11944, 0
40932.16111, 0
40932.20278, 0
40932.24444, 0
40932.28611, 0
40932.32778, 0
40932.36944, 0
40932.41111, 0
40932.45278, 0
40932.49444, 0
40932.53611, 0
40932.57778, 0
40932.61944, 0
40932.66111, 0
40932.70278, 0
40932.74444, 0
40932.78611, 0
40932.82778, 0
40932.86944, 0
40932.91111, 0
40932.95278, 0
40932.99444, 0
40933.03611, 0
40933.07778, 0
40933.11944, 0
40933.16111, 0
40933.20278, 0
40933.24444, 0
40933.26528, 0
40933.28611, 0
40933.32778, 0
40933.36944, 0
40933.41111, 0
40933.42014, 0
40933.44514, 0
40933.45278, 0
40933.49444, 0
40933.53611, 0
40933.57778, 0
40933.61944, 0
40933.66111, 0
40933.70278, 0
40933.74444, 0
40933.78611, 0
40933.82778, 0
40933.86944, 0
40933.91111, 0
40933.95278, 0
40933.99306, 0
40933.99444, 0
40934.03611, 0
40934.075, 0
40934.07778, 0
40934.10347, 0
40934.11042, 0
40934.11944, 0
40934.16111, 0
40934.20278, 0
40934.23056, 0.0001
40934.24444, 0.0001
40934.28611, 0
40934.29861, 0
40934.31806, 0
40934.31944, 0
40934.32083, 0
40934.325, 0.0017
40934.32778, 0.0025
40934.33472, 0.0001
40934.36111, 0.0001
40934.36736, 0.0001
40934.36944, 0.0003
40934.37292, 0.0001
40934.37431, 0.0003
40934.37778, 0.0026
40934.38194, 0.0033
40934.38472, 0.0035
40934.41111, 0.0034
40934.45278, 0
40934.49444, 0
40934.50556, 0
40934.51458, 0
40934.53611, 0
40934.57778, 0
40934.61944, 0
40934.66111, 0
40934.70278, 0
40934.74444, 0
40934.78611, 0
40934.82778, 0
40934.86944, 0
40934.91111, 0
40934.95278, 0
40934.99444, 0
40935.03611, 0
40935.07778, 0
40935.11944, 0
40935.16111, 0
40935.20278, 0
40935.24444, 0
